Price,Close,High,Low,Open,Volume
Ticker,LLY,LLY,LLY,LLY,LLY
Date,,,,,
2023-04-04,348.691162109375,352.9979384154542,345.3971642034692,346.1838071402872,3585900
2023-04-05,356.1837463378906,358.7501256867592,351.9458070752106,352.09329324299415,3442700
2023-04-06,362.1326599121094,363.3224218223756,358.1601952606233,358.7501700120103,3531700
2023-04-10,360.86419677734375,362.19163238549004,356.9704116664939,362.02446137992945,1868000
2023-04-11,357.95367431640625,362.63407213399387,357.5111858008227,361.6114813545244,2027000
2023-04-12,362.8799133300781,366.21325098758484,357.25554368945075,357.93401011518466,2672600
2023-04-13,368.8778991699219,369.2810480223583,364.1188222402716,366.3901991838011,2839900
2023-04-14,368.4649658203125,370.0185368748808,366.2820804096821,367.9831376391524,2287900
2023-04-17,366.12469482421875,369.6153304520561,364.9545880065521,368.73038353304787,2059700
2023-04-18,363.7255554199219,368.00283467816683,363.4797351178085,366.7638907531599,1925300
2023-04-19,364.2762145996094,365.0726700305679,361.20838182741886,364.35486389825087,2173000
2023-04-20,368.5435791015625,369.7726804512535,363.57802165175366,365.1807746129279,2766500
2023-04-21,378.7991638183594,379.81194205068726,371.6802189622819,371.6900613746609,3682500
2023-04-24,376.9408264160156,380.57894858515937,375.2495816755804,378.79921214408813,2059700
2023-04-25,378.4059143066406,383.9516343982472,377.57996174121485,378.6123949461572,2648600
2023-04-26,369.9792175292969,375.121789163733,364.4826790556711,374.7481374952361,3161200
2023-04-27,383.8238220214844,391.8670550273358,374.40397133117887,384.7186115134352,4981300
2023-04-28,389.24163818359375,397.55037540343466,385.9476705354433,391.3458741213457,5349000
2023-05-01,399.0252990722656,400.5395603618056,385.7018522275776,390.61825770640826,4091100
2023-05-02,397.4422302246094,404.65950985417436,392.5848192193324,400.19540528505246,3884600
2023-05-03,423.9809875488281,426.9406733155099,407.3831974805939,408.09116108564416,10129800
2023-05-04,421.2769470214844,425.4657340117693,418.1107807533176,424.2366326655455,4070700
2023-05-05,420.6575012207031,424.0596455559084,417.4618375224043,420.94266115276565,2752900
2023-05-08,425.4854431152344,427.72732305647736,415.92794862733314,419.0744604780493,2478600
2023-05-09,421.2179870605469,428.3172782181517,420.8934874744432,424.55129458072025,2601600
2023-05-10,428.6319580078125,431.06066379534155,418.93678967923455,418.93678967923455,2766300
2023-05-11,428.2681579589844,429.54644165264733,423.9122290043257,429.3989554592073,2595900
2023-05-12,428.2779846191406,439.23067040451934,428.26814668825745,433.9268523272724,3938400
2023-05-15,428.3568420410156,429.82573227858023,424.57122452294016,429.2046489985482,2234800
2023-05-16,430.46649169921875,432.27059349110243,424.56132711076975,428.05120477072234,2128800
2023-05-17,431.2749328613281,432.73398522373384,426.60206623186957,432.58608532449085,2274200
2023-05-18,431.68902587890625,433.2959180719162,427.449900405283,430.3285633343384,2268100
2023-05-19,436.1153869628906,441.1727449806472,432.7832468997458,432.7832468997458,3442800
2023-05-22,427.8442077636719,448.507412439792,426.26688961714746,438.0180722699965,4398000
2023-05-23,417.2168273925781,429.71728615965156,415.54091949479783,426.7893437394042,4492100
2023-05-24,419.7405700683594,422.88539820990394,414.308618802847,417.9956462437976,3133000
2023-05-25,421.2587890625,422.1362000643272,413.85512980390536,420.34196616887493,2882200
2023-05-26,419.76031494140625,425.55705195245326,417.6703414798261,418.8829039603283,2338400
2023-05-30,421.1898193359375,422.65873981544985,416.0831808443559,417.7886930422684,2595700
2023-05-31,423.3783264160156,424.4627551228107,418.0055229591424,420.9531713702106,3950900
2023-06-01,430.30877685546875,430.6045465526761,422.0671787623971,424.17685819249294,2914400
2023-06-02,436.0660400390625,438.4025031428916,430.59464702341035,433.72960702064444,2498700
2023-06-05,437.9687805175781,441.45862841208634,435.45487337937567,436.72661392963306,2113800
2023-06-06,436.7956237792969,442.5134770396469,433.7887972542084,441.4881962180937,1495300
